Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","0805",-100.838000,-62.738000,180.000000,bottom
"C9","100n","0805",-154.940000,-64.770000,0.000000,bottom
"C10","100n","0805",-125.095000,-87.630000,270.000000,bottom
"C11","100n","0805",-103.124000,-87.122000,180.000000,bottom
"C12","100n","0805",-102.616000,-77.724000,180.000000,bottom
"C13","100n","0805",-115.570000,-77.724000,0.000000,bottom
"R1","330","0805",-169.926000,-62.992000,0.000000,bottom
"R2","330","0805",-170.180000,-86.995000,0.000000,bottom
"R3","330","0805",-82.042000,-61.468000,90.000000,bottom
"R4","330","0805",-81.788000,-92.456000,270.000000,bottom
"R5","2.2k","0805",-115.570000,-75.438000,180.000000,bottom
"R6","2.2k","0805",-115.570000,-80.010000,0.000000,bottom
"R7","100","0805",-136.144000,-65.024000,270.000000,bottom
"U2","LB1930MC-AH","LB1930MC-AH",-102.362000,-90.678000,180.000000,bottom
"U3","LB1930MC-AH","LB1930MC-AH",-102.616000,-81.534000,180.000000,bottom
"U4","LB1930MC-AH","LB1930MC-AH",-154.940000,-68.580000,0.000000,bottom
"U5","LB1930MC-AH","LB1930MC-AH",-100.330000,-66.548000,180.000000,bottom
