"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J14";"PinHeader_1x01_P2.54mm_Vertical";1;"rearR-";;;
2;"J13";"PinHeader_1x01_P2.54mm_Vertical";1;"rearR+";;;
3;"J12";"PinHeader_1x01_P2.54mm_Vertical";1;"rearL-";;;
4;"J11";"PinHeader_1x01_P2.54mm_Vertical";1;"rearL+";;;
5;"J58,J56,J55,J54,J53,J52,J50,J49,J47,J46,J45,J44,J42,J41,J40,J39,J38,J37,J33,J32,J3";"PinHeader_1x01_P2.54mm_Vertical";21;"FL";;;
6;"M1";"screwSliderStepper";1;"Stepper";;;
7;"R7";"0805";1;"100";;;
8;"U1";"MDBQ42Q_brkout";1;"MDB42Q_brkout";;;
9;"C3,C9,C10,C11,C12,C13";"0805";6;"100n";;;
10;"C4,C5,C6,C7,C8";"CP_Radial_D5.0mm_P2.50mm";5;"CP";;;
11;"D1,D2,D3,D4";"LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z4.9mm";4;"LED";;;
12;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Vext";;;
13;"J4";"PinHeader_1x01_P2.54mm_Vertical";1;"FR";;;
14;"J5";"PinHeader_1x01_P2.54mm_Vertical";1;"F";;;
15;"J6,J7";"PinHeader_1x01_P2.54mm_Vertical";2;"END1";;;
16;"J8,J9";"PinHeader_1x01_P2.54mm_Vertical";2;"END2";;;
17;"J17";"PinHeader_1x01_P2.54mm_Vertical";1;"frontL";;;
18;"J20";"PinHeader_1x01_P2.54mm_Vertical";1;"frontR";;;
19;"J23";"PinHeader_1x01_P2.54mm_Vertical";1;"frontBar";;;
20;"J24";"PinHeader_1x02_P2.54mm_Vertical";1;"VCC";;;
21;"J25";"PinHeader_1x01_P2.54mm_Vertical";1;"D14";;;
22;"J26";"PinHeader_1x01_P2.54mm_Vertical";1;"D29";;;
23;"J27";"PinHeader_1x01_P2.54mm_Vertical";1;"D15";;;
24;"J28";"PinHeader_1x01_P2.54mm_Vertical";1;"D31";;;
25;"J34,J35";"PinHeader_1x01_P2.54mm_Vertical";2;"BM";;;
26;"J36";"PinHeader_1x02_P2.54mm_Vertical";1;"VDD";;;
27;"R1,R2,R3,R4";"0805";4;"330";;;
28;"R5,R6";"0805";2;"2.2k";;;
29;"S1";"PinHeader_1x03_P2.54mm_Vertical";1;"on/off";;;
30;"U2,U3,U4,U5";"LB1930MC-AH";4;"LB1930MC-AH";;;
31;"BT1,BT2,BT3";"BatterySlot_AAA";3;"BATTERY-AAA";;;
32;"C1";"super_cap";1;"supercap";;;
33;"D5";"Schottkey_D_5W_P10.16mm_Horizontal";1;"SHOTTKY";;;
34;"Z1";"zener_D_5W_P10.16mm_Horizontal";1;"5.6V";;;
